feature,importance_classification,importance_regression
home,0.07220347,0.040247973
opp_win_pct_ewm,0.04396201,0.057984695
win_pct_ewm,0.043085985,0.03582615
h2h_win_pct,0.036066826,0.03915875
top5_plusminus_avg,0.03417267,0.05241005
star_points_max,0.0316876,0.037136983
ts_pct_ewm,0.031510465,0.036591943
tov_rate_ewm,0.031346697,0.0360478
top5_rebounds_avg,0.03091685,0.03576509
is_back_to_back,0.030905437,0.012898002
top5_assists_avg,0.030629562,0.034146555
opp_fg_pct_ewm,0.030460821,0.032911032
days_rest,0.030139348,0.0145429745
opp_assists_ewm,0.03013623,0.032945007
turnovers_ewm,0.030120663,0.032590665
teamScore_ewm,0.030090673,0.026396684
pace_ewm,0.030064793,0.034840643
threePointersPercentage_ewm,0.029978432,0.03248136
assists_ewm,0.029963952,0.029157216
opp_score_ewm,0.029878868,0.033835333
top5_points_avg,0.029798828,0.032190535
blocks_ewm,0.02967906,0.031336326
fieldGoalsPercentage_ewm,0.029673869,0.030405136
efg_pct_ewm,0.029667212,0.03206403
month,0.029198436,0.01732318
reboundsTotal_ewm,0.028975433,0.029203633
opp_rebounds_ewm,0.02888384,0.034495607
steals_ewm,0.028720923,0.028003227
season_late,0.027282102,0.0323871
season_mid,0.026337054,0.025191663
streak,0.024461916,0.01948459
benchPoints_ewm,0.0,0.0
pointsFastBreak_ewm,0.0,0.0
pointsInThePaint_ewm,0.0,0.0
